Species,Expert,RCP,yr12,yr15,yr20,yr25,yr30,yr35,yr40,yr45,yr50,yr55,yr60,yr65,yr70,yr75,yr80,yr85,yr90,yr95,yr00,Dif12_00
Pentaprion_longimanus,0,8.5,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,325248.689,318831.202,294604.337,282495.87,258201.038,246132.531,205499.083,-121571.3
Rastrelliger_kanagurta,1,8.5,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,295462.115,293640.392,287222.904,262996.04,250887.572,238701.208,238701.208,198067.76,-97394.4
Saurida_elongata,0,8.5,54046.478,54166.256,69305.442,128915.015,150048.665,173902.879,182173.393,194151.21,194151.21,194151.21,194151.21,192329.486,179630.079,179630.079,188493.663,163432.386,151244.101,112941.063,55021.213,974.7
Saurida_undosquamis,1,8.5,54046.478,54166.256,69305.442,128915.015,150048.665,173902.879,182173.393,194151.21,194151.21,194151.21,194151.21,192329.486,179630.079,179630.079,188493.663,163432.386,151244.101,112941.063,55021.213,974.7
Scomberomorus_guttatus,0,8.5,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,325248.689,318831.202,294604.337,282495.87,258201.038,246132.531,205499.083,-121571.3
Selar_crumenophthalmus,1,8.5,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,325248.689,318831.202,294604.337,282495.87,258201.038,246132.531,205499.083,-121571.3
Sphyraena_barracuda,1,8.5,192580.566,225641.324,248541.369,248541.369,256811.883,256811.883,256811.883,256811.883,256811.883,256811.883,256811.883,256811.883,254990.159,248572.672,224345.807,212237.34,200289.518,188221.01,147587.563,-44993
Sphyraena_flavicauda,0,8.5,132886.437,170819.637,203930.322,215955.276,236294.297,236294.297,236294.297,236294.297,236294.297,236294.297,236294.297,236294.297,234472.574,228055.086,203828.222,191719.754,179771.932,167703.425,127069.977,-5816.5
Sphyraena_jello,0,8.5,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,324324.804,317907.317,293680.452,281571.985,257277.153,245208.646,204575.198,-121571.3
Sphyraena_obtusata,1,8.5,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,325248.689,318831.202,294604.337,282495.87,258201.038,246132.531,205499.083,-121571.3
Synodus_myops,0,8.5,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,337512.824,331095.337,306868.472,294760.005,267064.622,254996.115,205499.083,-133835.5
Upeneus_bensasi,0,8.5,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,294564.277,288146.789,263919.925,251811.458,239625.093,239625.093,198991.645,-97394.4
Upeneus_moluccensis,1,8.5,122720.121,145570.239,191663.619,203590.726,211861.24,211861.24,211861.24,211861.24,211861.24,222834.178,222834.178,222834.178,221012.455,214594.967,194560.339,182451.871,170504.049,158435.542,123914.001,1193.9
Upeneus_sulphureus,0,8.5,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,294564.277,288146.789,263919.925,251811.458,239625.093,239625.093,198991.645,-97394.4
Upeneus_tragula,1,8.5,251981.97,262192.61,274065.447,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,274096.75,261397.343,249869.886,237522.876,225575.054,214381.06,184941.606,104344.4,-147637.6
